Drug_ID,Drug,MW,LogP,HBD,HBA,TPSA,RotBonds,Rings,FractionCSP3,Y
hexapeptide 08,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,454.5280000000002,-2.287399999999991,4,6,157.02,0,1,0.7,-5.8200002
hexapeptide 09,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,454.5280000000002,-2.287399999999991,4,6,157.02,0,1,0.7,-5.3000002
aceclofenac,O=C(O)COC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl,354.1890000000001,3.907300000000002,2,4,75.63,6,2,0.125,-4.4099998
hexapeptide 12,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC1=O,454.5280000000002,-2.287399999999992,4,6,157.01999999999998,0,1,0.7,-5.8200002
hexapeptide 13,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC1=O,454.5280000000002,-2.287399999999992,4,6,157.01999999999998,0,1,0.7,-5.8200002
hexapeptide 14,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,454.5280000000002,-2.287399999999991,4,6,157.02,0,1,0.7,-5.8200002
hexapeptide 18,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,454.5280000000002,-2.287399999999991,4,6,157.02,0,1,0.7,-5.3000002
hexapeptide 20,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC1=O,454.5280000000002,-2.287399999999991,4,6,157.02,0,1,0.7,-5.8200002
acetaminophen,CC(=O)Nc1ccc(O)cc1,151.165,1.3505999999999998,2,2,49.33,1,1,0.125,-4.4400001
hexapeptide 22,C[C@@H]1NC(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,468.55500000000023,-1.945199999999991,3,6,148.23,0,1,0.7142857142857143,-5.8200002
hexapeptide 23,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,468.55500000000023,-1.945199999999991,3,6,148.23,0,1,0.7142857142857143,-5.8200002
hexapeptide 24,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,468.55500000000023,-1.9451999999999912,3,6,148.23,0,1,0.7142857142857143,-5.8200002
hexapeptide 25,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,468.55500000000023,-1.945199999999991,3,6,148.23,0,1,0.7142857142857143,-5.8200002
hexapeptide 26,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,468.5550000000002,-1.94519999999999,3,6,148.23,0,1,0.7142857142857143,-5.3000002
hexapeptide 27,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,468.55500000000023,-1.945199999999991,3,6,148.23,0,1,0.7142857142857143,-5.3000002
hexapeptide 28,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC1=O,468.55500000000023,-1.945199999999991,3,6,148.23,0,1,0.7142857142857143,-5.0
hexapeptide 29,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC1=O,468.5550000000002,-1.94519999999999,3,6,148.23,0,1,0.7142857142857143,-5.8200002
hexapeptide 32,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,468.5550000000002,-1.9451999999999903,3,6,148.23,0,1,0.7142857142857143,-5.8200002
hexapeptide 33,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC1=O,468.5550000000002,-1.94519999999999,3,6,148.23,0,1,0.7142857142857143,-5.8200002
hexapeptide 34,C[C@H]1C(=O)N[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,468.55500000000023,-1.945199999999992,3,6,148.23000000000002,0,1,0.7142857142857143,-5.8200002
hexapeptide 37,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,468.5550000000003,-1.9451999999999912,3,6,148.23000000000002,0,1,0.7142857142857143,-5.8200002
hexapeptide 38,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C1=O,468.5550000000002,-1.9451999999999903,3,6,148.23,0,1,0.7142857142857143,-5.8200002
hexapeptide 41,C[C@@H]1NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC1=O,482.5820000000002,-1.6029999999999904,2,6,139.44,0,1,0.7272727272727273,-5.2600002
hexapeptide 42,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C1=O,482.5820000000002,-1.6029999999999909,2,6,139.44,0,1,0.7272727272727273,-5.8200002
hexapeptide 47,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,482.5820000000003,-1.6029999999999909,2,6,139.44,0,1,0.7272727272727273,-5.3000002
hexapeptide 48,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,482.5820000000002,-1.60299999999999,2,6,139.44,0,1,0.7272727272727273,-5.3000002
hexapeptide 52,C[C@H]1C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,482.5820000000003,-1.6029999999999918,2,6,139.44,0,1,0.7272727272727273,-4.6999998
hexapeptide 53,C[C@@H]1NC(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,482.5820000000003,-1.6029999999999909,2,6,139.44,0,1,0.7272727272727273,-5.3000002
hexapeptide 54,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C1=O,482.5820000000002,-1.60299999999999,2,6,139.44,0,1,0.7272727272727273,-5.0
hexapeptide 55,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C1=O,482.5820000000003,-1.6029999999999909,2,6,139.44,0,1,0.7272727272727273,-5.3000002
hexapeptide 56,C[C@H]1C(=O)N(C)[C@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,496.6090000000003,-1.2607999999999915,1,6,130.65,0,1,0.7391304347826086,-5.0999999
hexapeptide 57,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C1=O,496.60900000000026,-1.2607999999999906,1,6,130.65,0,1,0.7391304347826086,-5.1500001
hexapeptide 58,C[C@H]1C(=O)N(C)[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,496.60900000000026,-1.2607999999999915,1,6,130.65,0,1,0.7391304347826086,-5.3000002
hexapeptide 59,C[C@@H]1NC(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@@H](C)N(C)C(=O)[C@H](C)N(C)C1=O,496.60900000000026,-1.2607999999999906,1,6,130.65,0,1,0.7391304347826086,-5.3000002
hexapeptide 60,C[C@H]1C(=O)N[C@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N(C)[C@H](C)C(=O)N(C)[C@@H](C)C(=O)N1C,496.60900000000026,-1.2607999999999915,1,6,130.65,0,1,0.7391304347826086,-5.3000002
hydralazine,NNc1nncc2ccccc12,160.17999999999998,0.9153999999999998,2,4,63.83,1,2,0.0,-5.170000099999998
hydrocortisone,C[C@]12C[C@@H](O)[C@@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@H]1CC[C@@]2(O)C(=O)CO,362.4660000000002,1.7815999999999996,3,5,94.83,2,4,0.8095238095238095,-4.6599998
IACV,C=C1NC(N)=Nc2c1ncn2COCCOC(=O)[C@H](N)[C@H](C)CC,336.3960000000001,0.2939000000000007,3,9,129.78,8,2,0.5333333333333333,-5.6799998
alminoprofen,C=C(C)CNc1ccc(C(C)C(=O)O)cc1,219.28399999999996,2.8627000000000002,2,2,49.33,5,1,0.3076923076923077,-4.3400002
imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,280.415,3.8750000000000027,0,2,6.48,4,3,0.3684210526315789,-4.8509998
indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,357.793,3.9273200000000026,1,4,68.53,4,3,0.15789473684210525,-4.6900001
isoquercitrin ,O=c1c(OC2C(O)OC(CO)C(O)C2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,464.3790000000002,-0.5388999999999995,8,12,210.51,4,4,0.2857142857142857,-6.170000099999998
ketoconazole,CC(=O)N1CCN(c2ccc(OC[C@H]3CO[C@](Cn4ccnc4)(c4ccc(Cl)cc4Cl)O3)cc2)CC1,531.4399999999999,4.205800000000003,0,7,69.06,7,5,0.38461538461538464,-4.9299998
lamotrigine,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,256.09599999999995,2.0098,2,5,90.71,1,2,0.0,-4.3899999
lansoprazole,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,369.3680000000001,3.515220000000001,1,4,67.87,5,3,0.25,-4.1100001000000015
Liquiritin apioside ,O=c1cc(-c2ccc(O)cc2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3OC[C@](O)(CO)[C@H]3O)cc(O)c12,564.4960000000002,-1.4851999999999999,8,14,228.96999999999994,7,5,0.4230769230769231,-7.119999900000002
lisinopril,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,405.49500000000023,1.2352000000000007,4,5,132.95999999999998,12,2,0.5714285714285714,-7.389999900000001
loracarbef,N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1.O,367.7890000000001,-0.11389999999999956,3,4,144.23000000000002,4,3,0.3125,-7.3400002
amfenac sodium,Nc1c(CC(=O)[O-])cccc1C(=O)c1ccccc1.O.[Na+],295.27000000000004,-3.0284999999999984,1,4,114.72,4,2,0.06666666666666667,-4.52
LY366659,CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3c(F)c(F)cc(F)c3F)cc21,456.42100000000016,2.6782000000000004,2,6,121.07,5,3,0.15789473684210525,-4.1999998
LY366799,CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3ccccc3F)cc21,402.45100000000014,2.2609000000000004,2,6,121.07,5,3,0.15789473684210525,-4.54
LY366853,C.CC(C)n1c(N)nc2ccc(/C(=C/C(N)=O)c3cccc(F)c3F)cc21,372.4190000000001,4.030700000000002,2,4,86.93,4,3,0.2,-5.3000002
LY366856,CC(C)S(=O)(=O)n1c(N)nc2ccc(/C(=C/C(N)=O)c3ccc(F)c(F)c3F)cc21,438.43100000000015,2.5391000000000004,2,6,121.07,5,3,0.15789473684210525,-4.329999900000002
meloxicam,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,351.4090000000001,1.95092,2,6,99.59999999999998,2,3,0.14285714285714285,-4.71
methylscopolamine,C[N+]1(C)[C@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1C1OC12.[Br-],398.2970000000001,-1.9332999999999958,1,4,59.06,4,4,0.6111111111111112,-6.1599998
metolazone,Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,365.8420000000001,2.714120000000001,2,4,92.5,2,3,0.1875,-5.21
amoxicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccc(O)cc3)C(=O)N2[C@H]1C(=O)O,365.4110000000001,0.023700000000000443,4,6,132.96,4,3,0.4375,-6.1524997
nadalol,CC(C)(C)NCC(O)COc1cccc2c1CC(O)C(O)C2,309.406,0.6347999999999998,4,5,81.95,5,2,0.6470588235294118,-5.4109998
naproxen,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,230.26299999999998,3.036500000000001,1,2,46.53,3,2,0.21428571428571427,-4.6599998
naproxen sodium,COc1ccc2cc(C(C)C(=O)[O-])ccc2c1.[Na+],252.24499999999998,-1.2941999999999987,0,3,49.36,3,2,0.21428571428571427,-4.329999900000002
naringenin,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)cc(O)c21,272.25600000000003,2.5099000000000014,3,5,86.99000000000001,1,3,0.13333333333333333,-4.6550002
N-carbobenzoxy-tryptophan,O=C(NC(Cc1c[nH]c2ccccc12)C(=O)O)OCc1ccccc1,338.3630000000001,3.0900000000000007,3,3,91.42,6,3,0.15789473684210525,-5.8000002
N-desmethylclozapine,Clc1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1N2,312.804,3.3805000000000023,2,4,39.66,0,4,0.23529411764705882,-4.6799998
neolignan smi02,C/C=C/c1cc(OC)c2c(c1)C(C)C(c1cc(OC)c(O)c(OC)c1)O2,356.4180000000001,4.688300000000005,1,5,57.150000000000006,5,3,0.3333333333333333,-5.3400002
neolignan smi05,C=CCc1cc(OC)c(OC(C)Cc2cc(OC)c(OC)c(OC)c2)c(OC)c1,402.48700000000014,4.468100000000004,0,6,55.38000000000001,11,2,0.391304347826087,-4.73
ampicillin,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,349.4120000000001,0.3181000000000002,3,5,112.73,4,3,0.4375,-5.6999998
neolignan smi08,C=CCc1cc(OC)c(OC(C)C(O)c2cc(OC)c(OC)c(OC)c2)c(OC)c1,418.4860000000002,3.959000000000003,1,7,75.61000000000001,11,2,0.391304347826087,-4.5500002
neolignan smi09,C=CCc1cc(OC)c(OC(C)C(O)c2ccc(O)c(OC)c2)c(OC)c1,374.4330000000001,3.647400000000003,2,6,77.38000000000001,9,2,0.3333333333333333,-4.5100002
oxacillin,Cc1onc(-c2ccccc2Cl)c1C(=O)N[C@@H]1C(=O)N2[C@@H](C(=O)O)C(C)(C)S[C@H]12,435.8890000000002,2.5487200000000003,2,6,112.74,4,4,0.3684210526315789,-5.579999900000002
oxprenolol ester,C=CCOc1ccccc1OC[C@@H](CNC(C)C)OC(=O)C1CC1,333.4280000000001,2.950000000000001,1,5,56.79,11,2,0.5263157894736842,-4.545000099999998
PNU200001,N=C(N)c1ccc2[nH]c(Cc3nc4ccccc4[nH]3)nc2c1,290.33000000000004,2.31407,4,3,107.23,3,4,0.0625,-6.6999998
PNU200647,N/C(=N/O)c1ccc2[nH]c(-c3ccccn3)nc2c1,253.26500000000001,1.7193999999999998,3,4,100.18,2,3,0.0,-4.6500001
PNU200648,Cc1ccnc2nc(Cc3nc4cc(C(=N)N)ccc4[nH]3)[nH]c12,305.345,2.01749,4,4,120.12,3,4,0.125,-7.0500002
PNU200969,CCOC(=O)NC(=N)c1ccc2[nH]c(Cc3nc4ccccc4[nH]3)nc2c1,362.39300000000003,3.101470000000001,4,5,119.54,4,4,0.15789473684210525,-6.1500001
